id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
156,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 506ms,[object Object],2026-04-07 18:00:00,1,,
157,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 437ms,[object Object],2026-04-07 19:00:00,1,,
158,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 634ms,[object Object],2026-04-07 20:00:00,1,,
159,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 513ms,[object Object],2026-04-07 21:00:00,1,,
160,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 590ms,[object Object],2026-04-07 22:00:00,1,,
161,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 607ms,[object Object],2026-04-07 23:00:00,1,,
162,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 619ms,[object Object],2026-04-08 00:00:00,1,,
163,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 683ms,[object Object],2026-04-08 01:00:00,1,,
164,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 487ms,[object Object],2026-04-08 15:00:00,1,,
165,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 512ms,[object Object],2026-04-08 15:19:27,1,,
166,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 482ms,[object Object],2026-04-08 16:00:01,1,,
167,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 483ms,[object Object],2026-04-08 16:33:43,1,,
168,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 534ms,[object Object],2026-04-08 17:00:00,1,,
169,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 537ms,[object Object],2026-04-08 18:00:00,1,,
